dataset,k,condition,hhem_hallucination,nli_entailment,llm_faithful_rate,llm_correct_rate,n_llm
rgb,1,C0,0.0623,0.7174,N/A,N/A,0
rgb,1,C1,0.0602,0.7307,0.8745,0.851,255
rgb,1,C2,0.1004,0.7137,N/A,N/A,0
rgb,1,C3,0.506,0.3239,0.3808,0.3843,281
rgb,3,C0,0.0412,0.5613,N/A,N/A,0
rgb,3,C1,0.0344,0.5766,0.839,0.8493,292
rgb,3,C2,0.0756,0.5666,N/A,N/A,0
rgb,3,C3,0.6151,0.2855,0.245,0.2953,298
rgb,5,C0,0.0202,0.626,N/A,N/A,0
rgb,5,C1,0.0204,0.6241,0.862,0.8855,297
rgb,5,C2,0.0306,0.6035,N/A,N/A,0
rgb,5,C3,0.7007,0.3407,0.2133,0.2467,300
